term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,family_name,n,AIC,BIC,p_adj_fdr
z_morphological_dist,4.08076076953113,2.20404322430823,1.85148853911971,0.0649272157188352,-0.253820827001577,8.41534236606383,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.168810760868971
z_phonological_dist,0.499287155941246,0.741411392293164,0.673427952593183,0.5011120238805,-0.958809555162188,1.95738386704468,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.542871359203875
z_inventory_dist,2.62140333203722,2.62749517630626,0.997681501254893,0.319111465869179,-2.54596004386491,7.78876670793934,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.414844905629932
AaA,-0.961745293910547,0.298355175014827,-3.22349124282074,0.00138339663411777,-1.54850549742492,-0.374985090396176,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.0089920781217655
LoR,0.373447899390328,0.506118599083188,0.737866381648121,0.46108173743118,-0.621910241073302,1.36880603985396,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.542871359203875
Edu.day,2.90623506972368,2.58914229306107,1.12247020085085,0.262419029031656,-2.18570160852792,7.99817174797528,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.414844905629932
prop_female,15.5088768642737,5.10295914995835,3.03919283077159,0.00254754486702687,5.47314227644136,25.5446114521061,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.0110393610904498
Enroll,0.520812671558128,0.126334894788146,4.12247679021295,4.66791994396636e-05,0.272356151327918,0.769269191788338,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.000606829592715626
z_featural_dist,-6.2729935975265,3.51584298916519,-1.78420754762316,0.0752273990586249,-13.1870352944108,0.641048099357851,stex,Speaking,z_featural_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.06178660088,5976.5011306272,0.140424478242766
AaA,-0.783373352426676,0.299476835970486,-2.61580616039325,0.00927424951132574,-1.37230617381031,-0.194440531043039,stex,Speaking,z_featural_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.06178660088,5976.5011306272,0.0225807814188801
LoR,0.23800183336106,0.516144980691075,0.46111430366405,0.644993521190153,-0.777017304050139,1.25302097077226,stex,Speaking,z_featural_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.06178660088,5976.5011306272,0.691037643465678
Edu.day,3.72176330981478,2.56722959446123,1.44971969700117,0.148002486149309,-1.32679332831742,8.77031994794698,stex,Speaking,z_featural_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.06178660088,5976.5011306272,0.236803977838894
prop_female,15.1997520907672,5.14411653108408,2.95478378044519,0.0033336159153985,5.08364727631632,25.3158569052181,stex,Speaking,z_featural_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.06178660088,5976.5011306272,0.009825394276964
Enroll,0.410083548928207,0.116769071241072,3.51191924856182,0.00050113670720049,0.180452638231899,0.639714459624514,stex,Speaking,z_featural_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5231.06178660088,5976.5011306272,0.00467727593387124
