term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,n,r.squared,adj.r.squared,AIC,BIC,p_adj_fdr
(Intercept),22.0660377358491,0.233956583209495,94.3168062772149,3.1959125804665e-97,21.6016986806326,22.5303767910656,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,
z_featural_dist,-2.12918632157468,3.25158398481052,-0.654815109042542,0.514136580884182,-8.58268044749986,4.3243078043505,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,0.565002599672287
z_script_dist,0.173611414732564,0.300674417883586,0.577406671158112,0.565002599672287,-0.423144073882246,0.770366903347375,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,0.565002599672287
z_geographic_dist,-0.623887509827776,0.349067067953277,-1.78729982603596,0.0770123039694601,-1.31668901306856,0.0689139934130122,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,0.1283538399491
z_genetic_dist,-0.960386179774726,0.391797070423543,-2.45123369283115,0.0160264187485404,-1.73799490965668,-0.182777449892767,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,0.0291389431791643
z_syntactic_dist,1.2881141045086,2.15228497449342,0.598486780223789,0.550910178778683,-2.983575787278,5.55980399629521,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,0.565002599672287
z_morphological_dist,0.589391005711646,0.527757028993117,1.11678475763007,0.266845057757397,-0.458060606312848,1.63684261773614,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,0.350023456924973
z_phonological_dist,-1.18160003509712,0.399137592949591,-2.96038272507785,0.0038622349140722,-1.97377767023399,-0.38942239996026,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,0.00858274425349378
z_inventory_dist,1.41909576154265,1.02853439809718,1.37972610752545,0.170843217568458,-0.622260305973757,3.46045182905907,toefl,Listening,all8_block,all8_block,106,0.350527660198887,0.296962931143125,497.778951552755,524.413342493876,0.244061739383511
(Intercept),21.7735849056604,0.231057816971726,94.2343574046868,1.58445517648086e-102,21.315388583818,22.2317812275027,toefl,Speaking,z_featural_dist,single_distance,106,0.117047472482868,0.108557544333665,488.521894658746,496.512211941082,
z_featural_dist,-0.862001380840244,0.232155484988513,-3.71303473998426,0.000331248521640304,-1.32237441955149,-0.401628342128993,toefl,Speaking,z_featural_dist,single_distance,106,0.117047472482868,0.108557544333665,488.521894658746,496.512211941082,0.00165624260820152
(Intercept),21.7735849056604,0.240607870192519,90.4940677469883,1.01698538561702e-100,21.2964504699013,22.2507193414195,toefl,Speaking,z_script_dist,single_distance,106,0.0425509333104413,0.0333446922845801,497.108010108074,505.09832739041,
z_script_dist,-0.519734428692772,0.241750906888524,-2.14987581797338,0.0338830366945963,-0.999135549114187,-0.0403333082713559,toefl,Speaking,z_script_dist,single_distance,106,0.0425509333104413,0.0333446922845801,497.108010108074,505.09832739041,0.0714247501231837
(Intercept),21.7735849056604,0.230445605602589,94.4847043133019,1.20619639388304e-102,21.3166026219372,22.2305671893836,toefl,Speaking,z_geographic_dist,single_distance,106,0.121720220254639,0.113275222372472,487.959433450265,495.949750732601,
z_geographic_dist,-0.879039329135151,0.231540365235455,-3.79648416051019,0.000247087311722711,-1.33819256229281,-0.419886095977495,toefl,Speaking,z_geographic_dist,single_distance,106,0.121720220254639,0.113275222372472,487.959433450265,495.949750732601,0.00164724874481808
