pair_id,n,Speaking,new_feat,new_sounds,AaA,LoR,Edu.day,Enroll,prop_female,C,L1_code,L2_code,featural_dist,script_dist,geographic_dist,genetic_dist,syntactic_dist,morphological_dist,phonological_dist,inventory_dist,z_featural_dist,z_script_dist,z_geographic_dist,z_genetic_dist,z_syntactic_dist,z_morphological_dist,z_phonological_dist,z_inventory_dist
ital1282__stan1290,42,524.714285714286,17,18,28.3333333333333,4,3.38095238095238,99.9047619047619,0.738095238095238,Italy,ital1282,stan1290,0.4579,0,0.041,0.5295,0.4625,0.4815,0.359,0.4379,-1.22022469929184,-1.50392159378278,-0.686882793466962,-1.74751364239701,-1.18363526357492,-1.64395004643568,0.32599255628927,-0.715018164085783
ital1282__stan1295,33,550.272727272727,17,18,27.7878787878788,4.27272727272727,3.3030303030303,99.3333333333333,0.636363636363636,Italy,ital1282,stan1295,0.4909,0,0.0257,0.9131,0.4603,0.6188,0.359,0.4819,-0.799503063831501,-1.50392159378278,-0.831279189656011,0.354743220168151,-1.20759214535202,-0.328033066527385,0.32599255628927,-0.116566110328777
ital1282__poli1260,1,519,17,18,21,1,3,100,1,Poland,ital1282,poli1260,0.4776,0,0.0443,0.9047,0.451,0.5744,0.195,0.498,-0.969066632062487,-1.50392159378278,-0.655738472720305,0.308708398360154,-1.30886441831886,-0.753573590255924,-1.4732570872436,0.102412936614128
ital1282__swed1254,1,526,17,18,42,4,4,99,1,Italy,ital1282,swed1254,0.5043,0.1864,0.0774,0.9131,0.4581,0.6188,0.319,0.5422,-0.628664581553666,-0.30807189288601,-0.343351497958375,0.354743220168151,-1.23154902712912,-0.328033066527385,-0.112848820182163,0.703585226979121
ital1282__mode1248,1,462,17,18,31,25,2,103,0,Libya,ital1282,mode1248,0.4422,0.2736,0.0412,0.9047,0.4142,0.4949,0.195,0.5103,-1.42038620464722,0.251359941439088,-0.684995258876256,0.308708398360154,-1.70959771349944,-1.51552114963473,-1.4732570872436,0.269707488005291
ital1282__serb1264,1,532,17,18,23,4,4,85,1,Yugoslavia,ital1282,serb1264,0.4547,0,0.0312,0.9196,0.4676,0.535,0,0.4263,-1.26102194879103,-1.50392159378278,-0.779371988411582,0.390365403710053,-1.12809885581892,-1.13119288383485,-3.61260879754184,-0.872791887348994
ital1282__czec1258,1,498,17,18,28,1,4,99,0,Italy,ital1282,czec1258,0.4623,0,0.0322,0.9131,0.489,0.4949,0,0.4371,-1.16412848123046,-1.50392159378278,-0.769934315458049,0.354743220168151,-0.895063733078039,-1.51552114963473,-3.61260879754184,-0.725899110517729
ital1282__ital1282,3,548.666666666667,17,18,32.3333333333333,6,3.33333333333333,102.333333333333,1,Italy,ital1282,ital1282,0,0,0,0,0,0,0,0,-7.05805611981579,-1.50392159378278,-1.0738273845618,-4.64935151707962,-6.22002518262434,-6.25876450984315,-3.61260879754184,-6.67097621727199
ital1282__mand1415,1,562,17,18,24,1,4,99,1,Italy,ital1282,mand1415,0.6228,0.658,0.3036,1,0.5688,0.8625,0.5049,0.6245,0.882108563963013,2.71747917440431,1.7914501241307,0.83098441244373,-0.0260822940723241,2.00764769096462,1.92666647696882,1.82296259116552
nucl1643__stan1293,235,500.110638297872,26,20,28.8085106382979,5.36595744680851,3.46808510638298,100.863829787234,0.906382978723404,Japan,nucl1643,stan1293,0.6712,0.3881,0.3453,1,0.713,0.7604,0.5587,0.5428,1.49916696263818,0.98593499912514,2.18500108629301,0.83098441244373,1.54418241149941,1.02909617130958,2.5169081283229,0.711745936803079
