dataset,observation,native_language,native_code,target_language,target_code,speaking_score,asjp_lexical,concepts_lexical,glottolog_genetic,grambank_typological,l2v_featural,l2v_genetic,l2v_geographic,l2v_inventory,l2v_phonological,l2v_syntactic,modality_hyperbolic,modality_island,modality_speaker,phoible_phonological,qwals_typological,scripts_script,urielplus_featural,urielplus_genetic,urielplus_geographic,urielplus_inventory,urielplus_morphological,urielplus_phonological,urielplus_script,urielplus_syntactic
toefl,toefl_00037,Hausa,haus1257,English,stan1293,21,0.498068875637655,0.1,1,0.527589343584494,0.5,1,0.2,0.5337,0.427,0.45,19.48854,0.174207748505111,0.376416157938257,0.629032258064516,0.275569362916808,0.666666666666667,0.572,1,0.1885,0.5337,0.6892,0.439,0.4161,0.567
toefl,toefl_00038,Hebrew,hebr1245,English,stan1293,24,0.487811173437931,0.04,1,0.486820520986101,0.6,1,0.2,0.5549,0.5687,0.52,21.960886,0.173332427976355,0.297389100003974,0.604166666666667,0.231430318233741,1,0.6064,1,0.1521,0.5549,0.7193,0.4788,0.6035,0.6006
toefl,toefl_00039,Hiligaynon,hili1240,English,stan1293,23,,0.1,1,0.559016994374948,0.6,1,0.6,0.4911,0.5687,0.66,22.11605,0.175881623284045,0.452288439819878,0.555555555555556,0.261594191841457,0.666666666666667,0.6122,1,0.3975,0.4911,0.7532,0.1864,0.1864,0.6663
toefl,toefl_00040,Hindi,hind1269,English,stan1293,24,0.474303754553279,0.03,0.833333333333333,0.5803340113821,0.5,0.9,0.4,0.4684,0.3433,0.59,19.157167,0.193505261141854,0.340122443129191,0.712328767123288,0.244765536475728,0.75,0.6094,0.9196,0.2707,0.4684,0.7597,0.3729,0.3918,0.6586
toefl,toefl_00041,Hungarian,hung1274,English,stan1293,23,0.498070860518359,0.05,1,0.511408311956759,0.5,1,0.1,0.4581,0.3433,0.6,19.918598,0.180810647393742,0.283430727316671,0.581818181818182,0.254298951890734,0.75,0.5979,1,0.0665,0.4581,0.7323,0.3277,0.1864,0.641
toefl,toefl_00042,Icelandic,icel1247,English,stan1293,24,,0.03,0.583333333333333,0.464531456076131,0.5,0.7,0.1,0.4694,0.5687,0.47,20.34326,0.14114342720517,0.299810422141954,0.631578947368421,0.178481729063269,0.666666666666667,0.5505,0.7323,0.0642,0.4694,0.6936,0.427,0,0.5584
toefl,toefl_00043,Igbo,nucl1417,English,stan1293,21,,0.18,1,0.512724680445699,0.5,1,0.3,0.4772,0.427,0.61,19.234743,0.197639083966715,0.385275823420937,0.509803921568627,0.243320104810927,0.666666666666667,0.6286,1,0.2142,0.4772,0.7854,0.4878,0.1864,0.6773
toefl,toefl_00044,Indonesian,indo1316,English,stan1293,21,0.485576939394924,0.0699999999999999,1,0.519615242270663,0.5,1,0.6,0.4546,0.2736,0.52,22.224,0.170368413831951,0.483676210311153,0.520833333333333,0.260714292526245,0.666666666666667,0.59,1,0.4185,0.4546,0.7434,0.3277,0.4161,0.6388
toefl,toefl_00045,Italian,ital1282,English,stan1293,22,0.467123870501874,0.02,0.825757575757576,0.475531968711181,0.5,0.9,0.1,0.5064,0.5687,0.51,19.44084,0.159481975611323,0.284544006497919,0.6,0.139545183915358,0.666666666666667,0.5595,0.9291,0.0615,0.5064,0.6658,0.2677,0.1864,0.5724
toefl,toefl_00046,Japanese,nucl1643,English,stan1293,17,0.501094861575527,0.06,1,0.580244273634327,0.6,1,0.5,0.5472,0.5032,0.66,16.566793,0.220943622562188,0.404119242610935,0.637931034482759,0.332641092936198,0.75,0.6712,1,0.3453,0.5428,0.7604,0.5587,0.3881,0.713
toefl,toefl_00047,Javanese,java1254,English,stan1293,16,0.502537593828766,0.21,1,0.543557306504609,0.6,1,0.6,0.4438,0.529,0.82,18.217724,0.173788098149803,0.484385458833275,0.568627450980392,0.258380947113037,0.75,0.5993,1,0.4052,0.4438,0.8019,0.427,0.1864,0.6407
toefl,toefl_00048,Kannada,nucl1305,English,stan1293,24,,0.03,1,0.569976399903277,0.5,1,0.4,0.4738,0.3498,0.64,20.353052,0.198436290788429,0.341740593165812,0.696969696969697,0.294500908484826,1,0.6406,1,0.3013,0.4738,0.6629,0.3333,0.5114,0.7397
toefl,toefl_00049,Kashmiri,kash1277,English,stan1293,24,,,0.791666666666667,0.53802758684897,0.5,0.9,0.3,0.4579,0.4121,0.65,17.929123,0.171693911626173,0.340700205109318,0.733333333333333,0.255674616495768,0.833333333333333,0.5936,0.8934,0.2387,0.4579,0.6518,0.3277,0.4973,0.6645
toefl,toefl_00050,Kazakh,kaza1248,English,stan1293,15,0.499683138603463,0.1,1,,0.9,1,0.2,0.5983,0.805,0.9,21.35208,0.240097063835315,0.29092828296459,,0.455026467641195,0.8,0.9187,1,0.1977,0.9139,0.6736,0.8136,0.4161,0.9186
toefl,toefl_00051,Khmer,cent1989,English,stan1293,21,,0.0899999999999999,1,0.512147519731584,0.6,1,0.5,0.5101,0.5207,0.64,21.16455,0.181110033752147,0.403843371236707,0.692307692307692,0.301735637343933,1,0.6253,1,0.3638,0.5101,0.8019,0.5456,0.6667,0.6443
toefl,toefl_00052,Kikuyu,kiku1240,English,stan1293,22,,0.06,1,0.585980796593117,0.6,1,0.3,0.5207,0.5687,0.75,21.628359,0.209956693595565,0.414342978716268,0.660377358490566,0.26550834243362,0.666666666666667,0.6859,1,0.2654,0.5207,0.798,0.5456,0.1864,0.7356
toefl,toefl_00053,Kinyarwanda,kiny1244,English,stan1293,21,0.500912821759768,0.12,1,,0.6,1,0.3,0.5182,0.5687,0.77,21.485485,0.200830180240158,0.417887430079258,0.603174603174603,0.281994074583054,0.666666666666667,0.6736,1,0.2595,0.5182,0.7771,0.5804,0.1864,0.7326
toefl,toefl_00054,Konkani,goan1235,English,stan1293,25,,,0.816666666666667,,0.6,0.9,0.4,0.5983,0.5687,0.57,18.539984,0.249068708727691,0.341972975502783,,,0.75,0.6468,0.9047,0.2923,0.6054,0.6736,0.5641,0.4404,0.6597
toefl,toefl_00055,Korean,kore1280,English,stan1293,21,0.495033564169102,0.0899999999999999,1,0.609694799626091,0.5,1,0.4,0.4866,0.4638,0.62,18.999586,0.222094851379448,0.376692405591195,0.704918032786885,0.285980793967176,1,0.6664,1,0.3292,0.4866,0.7699,0.5587,0.3141,0.7212
toefl,toefl_00056,Kurdish,cent1972,English,stan1293,21,0.469315302944268,0.0899999999999999,0.816666666666667,,0.9,0.9,0.2,0.5983,0.5687,0.92,18.120289,0.199259511947339,0.307310654426099,0.655172413793103,0.241833343505859,1,0.6454,0.9196,0.1645,0.4991,0.5901,0.3548,0.4161,0.77
toefl,toefl_00057,Lao,laoo1244,English,stan1293,20,0.496654643173886,0.0899999999999999,1,0.539687072220866,0.6,1,0.5,0.522,0.5687,0.59,19.990494,0.189466675758186,0.375757319633156,0.553571428571429,0.234963769498079,1,0.6435,1,0.3524,0.522,0.8611,0.427,0.6368,0.6791
toefl,toefl_00058,Latvian,stan1325,English,stan1293,24,,0.04,0.773809523809524,0.512989176042577,0.6,1,1,0.5983,0.5687,0.57,23.772718,0.176730590201159,0.281487203478907,0.627118644067797,,0.666666666666667,0.577,0.9687,0.0694,0.6361,0.6241,0.3548,0.1864,0.5449
toefl,toefl_00059,Lingala,ling1263,English,stan1293,17,,0.0799999999999999,1,0.573684516132894,0.6,1,0.3,0.5119,0.5687,0.67,25.203318,0.273666779282057,0.419747162757098,0.652173913043478,0.366170633406866,0.666666666666667,0.6947,1,0.2366,0.4951,0.8091,0.5096,0.1864,0.7495
toefl,toefl_00060,Lithuanian,lith1251,English,stan1293,24,0.477239727190589,0.12,0.716666666666667,0.528382264330365,0.5,0.9,0.1,0.4694,0.3498,0.68,18.998898,0.18525750854745,0.277291089467908,0.685714285714286,0.258445945945946,0.666666666666667,0.6047,0.8767,0.0673,0.4694,0.6723,0.3333,0.1864,0.6613
toefl,toefl_00061,Luo,luok1236,English,stan1293,22,,0.0799999999999999,1,0.578859684233937,0.5,1,0.3,0.3969,0.4054,0.63,24.11706,0.18114744276442,0.410120660711816,0.557692307692308,0.288056201622134,0.666666666666667,0.6223,1,0.2642,0.3969,0.8094,0.427,0.1864,0.6889
toefl,toefl_00062,Luxembourgish,luxe1241,English,stan1293,25,,,0.541666666666667,,0.8,0.6,0,0.5983,0.5687,0.72,14.377241,0.226146912211326,0.291149908434532,0.619047619047619,0,0.666666666666667,0.7912,0.6336,0.0255,0.7678,0.8869,0.6667,0.1864,0.7971
toefl,toefl_00063,Macedonian,mace1250,English,stan1293,24,0.453084590188497,0.03,0.791666666666667,0.515388203202208,0.6,0.9,0.1,0.5064,0.5687,0.57,18.871939,0.169194608842957,0.266844289308929,0.641509433962264,0.206802722385951,1,0.5765,0.9131,0.0868,0.5064,0.6704,0.2677,0.3918,0.6046
toefl,toefl_00064,Malagasy,plat1254,English,stan1293,19,,,,,0.6,1,0.5,0.5093,0.2736,0.68,20.896343,0.190655563011907,0.489984065251578,,0.309632861887226,,0.6491,1,0.3437,0.5093,0.7457,0.2617,0.641,0.7158
toefl,toefl_00065,Malay,stan1306,English,stan1293,22,0.480505845903898,0.05,1,0.55117825460955,0.6,1,0.5,0.4951,0.5687,0.79,24.103481,0.19413408116768,0.449768400789312,,0.196428567171097,0.666666666666667,0.6287,1,0.3806,0.4951,0.8344,0.1864,0.641,0.6707
toefl,toefl_00066,Malayalam,mala1464,English,stan1293,24,,0.05,1,0.607195906348905,0.6,1,0.4,0.5076,0.5687,0.77,20.65635,0.217975534692018,0.336402902677749,0.67741935483871,0.353985059059272,0.75,0.6577,1,0.314,0.5076,0.7268,0.3729,0.6336,0.7383
toefl,toefl_00067,Mandingo,mand1436,English,stan1293,20,,0.0699999999999999,1,0.535456148263597,0.6,1,0.2,0.5026,0.5687,0.7,24.77993,0.177720661982497,0.401452992215212,0.596153846153846,0.278070198862176,0.75,0.6293,1,0.1854,0.5026,0.7675,0.427,0.641,0.6722
toefl,toefl_00068,Marathi,mara1378,English,stan1293,24,0.475266189741334,0.05,0.833333333333333,0.557874976850475,0.6,0.9,0.4,0.4513,0.5687,0.7,19.728094,0.205741150016668,0.341697667354667,0.782051282051282,0.339852148486722,1,0.621,0.9131,0.2901,0.4513,0.754,0.3333,0.6213,0.6855
toefl,toefl_00069,Mongolian,mong1331,English,stan1293,20,0.488940573516402,0.0699999999999999,1,0.560478479207231,0.6,1,1,0.5983,0.5687,0.57,18.683977,0.19800645749178,0.342627443603684,0.68421052631579,0.331775486469269,1,0.6572,1,0.2656,0.5109,0.7264,0.3277,0.4867,0.7446
toefl,toefl_00070,Nepali,nepa1254,English,stan1293,22,,0.06,0.816666666666667,0.55097316501934,0.9,0.9,1,0.5983,0.5687,0.88,18.324528,0.18978209674615,0.330658297741316,0.716417910447761,0.352414025200738,1,0.6252,0.9047,0.2774,0.5014,0.6892,0.2677,0.1864,0.6956
