country,country_name,country_code,confounder,source,source_name,year,timing,region
Guyana,Guyana,GUY,gdp_per_capita,WDI,Guyana,2019,latest_available_at_or_before_2019,
Cuba,Cuba,CUB,gdp_per_capita,WDI,Cuba,,,
Bolivia,Bolivia,BOL,gdp_per_capita,WDI,Bolivia,2019,latest_available_at_or_before_2019,
Nepal,Nepal,NPL,gdp_per_capita,WDI,Nepal,2019,latest_available_at_or_before_2019,
Venezuela,Venezuela,VEN,gdp_per_capita,WDI,"Venezuela, RB",,,
Angola,Angola,AGO,gdp_per_capita,WDI,Angola,2019,latest_available_at_or_before_2019,
Ireland,Ireland,IRL,gdp_per_capita,WDI,Ireland,2019,latest_available_at_or_before_2019,
Malta,Malta,MLT,gdp_per_capita,WDI,Malta,2019,latest_available_at_or_before_2019,
Poland,Poland,POL,gdp_per_capita,WDI,Poland,2019,latest_available_at_or_before_2019,
Brazil,Brazil,BRA,gdp_per_capita,WDI,Brazil,2019,latest_available_at_or_before_2019,
Guatemala,Guatemala,GTM,gdp_per_capita,WDI,Guatemala,2019,latest_available_at_or_before_2019,
SierraLeone,Sierra Leone,SLE,gdp_per_capita,WDI,Sierra Leone,2019,latest_available_at_or_before_2019,
Nicaragua,Nicaragua,NIC,gdp_per_capita,WDI,Nicaragua,2019,latest_available_at_or_before_2019,
Mexico,Mexico,MEX,gdp_per_capita,WDI,Mexico,2019,latest_available_at_or_before_2019,
Peru,Peru,PER,gdp_per_capita,WDI,Peru,2019,latest_available_at_or_before_2019,
Portugal,Portugal,PRT,gdp_per_capita,WDI,Portugal,2019,latest_available_at_or_before_2019,
Estonia,Estonia,EST,gdp_per_capita,WDI,Estonia,2019,latest_available_at_or_before_2019,
"Congo,DemocraticRepublicofthe","Congo, Democratic Republicofthe",COD,gdp_per_capita,WDI,"Congo, Dem. Rep.",2019,latest_available_at_or_before_2019,
Coted'Ivoire,Coted'Ivoire,CIV,gdp_per_capita,WDI,Cote d'Ivoire,2019,latest_available_at_or_before_2019,
Guinea,Guinea,GIN,gdp_per_capita,WDI,Guinea,2019,latest_available_at_or_before_2019,
Colombia,Colombia,COL,gdp_per_capita,WDI,Colombia,2019,latest_available_at_or_before_2019,
Kazakhstan,Kazakhstan,KAZ,gdp_per_capita,WDI,Kazakhstan,2019,latest_available_at_or_before_2019,
Uzbekistan,Uzbekistan,UZB,gdp_per_capita,WDI,Uzbekistan,2019,latest_available_at_or_before_2019,
CapeVerde,Cape Verde,CPV,gdp_per_capita,WDI,Cabo Verde,2019,latest_available_at_or_before_2019,
Hungary,Hungary,HUN,gdp_per_capita,WDI,Hungary,2019,latest_available_at_or_before_2019,
Latvia,Latvia,LVA,gdp_per_capita,WDI,Latvia,2019,latest_available_at_or_before_2019,
Lithuania,Lithuania,LTU,gdp_per_capita,WDI,Lithuania,2019,latest_available_at_or_before_2019,
Mongolia,Mongolia,MNG,gdp_per_capita,WDI,Mongolia,2019,latest_available_at_or_before_2019,
Moldova,Moldova,MDA,gdp_per_capita,WDI,Moldova,2019,latest_available_at_or_before_2019,
Ecuador,Ecuador,ECU,gdp_per_capita,WDI,Ecuador,2019,latest_available_at_or_before_2019,
DominicanRepublic,Dominican Republic,DOM,gdp_per_capita,WDI,Dominican Republic,2019,latest_available_at_or_before_2019,
Uruguay,Uruguay,URY,gdp_per_capita,WDI,Uruguay,2019,latest_available_at_or_before_2019,
CostaRica,Costa Rica,CRI,gdp_per_capita,WDI,Costa Rica,2019,latest_available_at_or_before_2019,
