Native.Language,Reading,Listening,Speaking,Writing,Total,code,L1_code,L2_code,urielplus_featural_dist,urielplus_script_dist,urielplus_geographic_dist,urielplus_genetic_dist,urielplus_syntactic_dist,urielplus_morphological_dist,urielplus_phonological_dist,urielplus_inventory_dist,modality_island_dist,modality_speaker_dist,modality_hyperbolic_dist,l2v_genetic_dist,l2v_geographic_dist,l2v_syntactic_dist,l2v_inventory_dist,l2v_phonological_dist,l2v_featural_dist,asjp_dist,phoible,grambank,glot_tree,scripts,concepts,qwals
Kurdish,17,19,21,19,75,cent1972,cent1972,stan1293,0.6454,0.4161,0.1645,0.9196,0.77,0.5901,0.3548,0.4991,0.1992595119473387,0.3073106544260985,18.120289,0.9,0.2,0.92,0.5983,0.5687,0.9,0.4693153029442677,0.6551724137931034,-1.0,0.8166666666666667,1.0,0.0899999999999999,0.2418333435058594
Lao,15,16,20,19,70,laoo1244,laoo1244,stan1293,0.6435,0.6368,0.3524,1.0,0.6791,0.8611,0.427,0.522,0.1894666757581861,0.3757573196331564,19.990494,1.0,0.5,0.59,0.522,0.5687,0.6,0.4966546431738855,0.5535714285714286,0.5396870722208659,1.0,1.0,0.0899999999999999,0.2349637694980787
Latvian,22,25,24,22,93,stan1325,stan1325,stan1293,0.577,0.1864,0.0694,0.9687,0.5449,0.6241,0.3548,0.6361,0.1767305902011589,0.281487203478907,23.772718,1.0,1.0,0.57,0.5983,0.5687,0.6,,0.6271186440677966,0.512989176042577,0.7738095238095238,0.6666666666666667,0.04,-1.0
Lingala,12,14,17,14,56,ling1263,ling1263,stan1293,0.6947,0.1864,0.2366,1.0,0.7495,0.8091,0.5096,0.4951,0.2736667792820574,0.4197471627570978,25.203318,1.0,0.3,0.67,0.5119,0.5687,0.6,,0.6521739130434783,0.5736845161328941,1.0,0.6666666666666667,0.0799999999999999,0.3661706334068662
Lithuanian,23,25,24,23,94,lith1251,lith1251,stan1293,0.6047,0.1864,0.0673,0.8767,0.6613,0.6723,0.3333,0.4694,0.1852575085474495,0.2772910894679084,18.998898,0.9,0.1,0.68,0.4694,0.3498,0.5,0.4772397271905885,0.6857142857142857,0.5283822643303645,0.7166666666666667,0.6666666666666667,0.12,0.25844594594594594
Luo,16,18,22,20,77,luok1236,luok1236,stan1293,0.6223,0.1864,0.2642,1.0,0.6889,0.8094,0.427,0.3969,0.1811474427644195,0.4101206607118164,24.11706,1.0,0.3,0.63,0.3969,0.4054,0.5,,0.5576923076923077,0.5788596842339373,1.0,0.6666666666666667,0.0799999999999999,0.28805620162213436
Luxembourgish,23,25,25,23,96,luxe1241,luxe1241,stan1293,0.7912,0.1864,0.0255,0.6336,0.7971,0.8869,0.6667,0.7678,0.2261469122113255,0.2911499084345325,14.377241,0.6,0.0,0.72,0.5983,0.5687,0.8,,0.6190476190476191,-1.0,0.5416666666666666,0.6666666666666667,-1.0,0.0
Macedonian,21,23,24,22,90,mace1250,mace1250,stan1293,0.5765,0.3918,0.0868,0.9131,0.6046,0.6704,0.2677,0.5064,0.1691946088429574,0.2668442893089293,18.871939,0.9,0.1,0.57,0.5064,0.5687,0.6,0.4530845901884974,0.6415094339622642,0.5153882032022076,0.7916666666666667,1.0,0.03,0.20680272238595146
Malagasy,18,19,19,19,75,plat1254,plat1254,stan1293,0.6491,0.641,0.3437,1.0,0.7158,0.7457,0.2617,0.5093,0.1906555630119073,0.4899840652515779,20.896343,1.0,0.5,0.68,0.5093,0.2736,0.6,,-1.0,-1.0,-1.0,-1.0,-1.0,0.30963286188722566
Malay,23,24,22,23,92,stan1306,stan1306,stan1293,0.6287,0.641,0.3806,1.0,0.6707,0.8344,0.1864,0.4951,0.1941340811676801,0.4497684007893123,24.103481,1.0,0.5,0.79,0.4951,0.5687,0.6,0.4805058459038983,-1.0,0.5511782546095504,1.0,0.6666666666666667,0.05,0.1964285671710968
Malayalam,23,24,24,23,95,mala1464,mala1464,stan1293,0.6577,0.6336,0.314,1.0,0.7383,0.7268,0.3729,0.5076,0.2179755346920184,0.3364029026777489,20.65635,1.0,0.4,0.77,0.5076,0.5687,0.6,,0.6774193548387097,0.6071959063489054,1.0,0.75,0.05,0.35398505905927236
Mandingo,13,16,20,18,66,mand1436,mand1436,stan1293,0.6293,0.641,0.1854,1.0,0.6722,0.7675,0.427,0.5026,0.1777206619824967,0.4014529922152118,24.77993,1.0,0.2,0.7,0.5026,0.5687,0.6,,0.5961538461538461,0.5354561482635966,1.0,0.75,0.0699999999999999,0.2780701988621762
Marathi,22,23,24,23,92,mara1378,mara1378,stan1293,0.621,0.6213,0.2901,0.9131,0.6855,0.754,0.3333,0.4513,0.2057411500166676,0.341697667354667,19.728094,0.9,0.4,0.7,0.4513,0.5687,0.6,0.4752661897413339,0.782051282051282,0.5578749768504754,0.8333333333333334,1.0,0.05,0.3398521484867219
Mongolian,20,21,20,20,82,mong1331,mong1331,stan1293,0.6572,0.4867,0.2656,1.0,0.7446,0.7264,0.3277,0.5109,0.1980064574917798,0.3426274436036842,18.683977,1.0,1.0,0.57,0.5983,0.5687,0.6,0.4889405735164018,0.6842105263157895,0.5604784792072308,1.0,1.0,0.0699999999999999,0.3317754864692688
Nepali,20,22,22,22,86,nepa1254,nepa1254,stan1293,0.6252,0.1864,0.2774,0.9047,0.6956,0.6892,0.2677,0.5014,0.18978209674615,0.3306582977413158,18.324528,0.9,1.0,0.88,0.5983,0.5687,0.9,,0.7164179104477613,0.5509731650193397,0.8166666666666667,1.0,0.06,0.35241402520073783
Norwegian,22,25,25,23,95,norw1258,norw1258,stan1293,0.5311,0.0,0.0423,0.7048,0.5352,0.6356,0.409,0.4769,0.1530724846297326,0.2879058823495753,16.164381,0.7,0.1,0.59,0.5983,0.5687,0.8,0.4975739994596429,-1.0,-1.0,1.0,0.6666666666666667,-1.0,0.12302579879760742
Oriya,23,24,24,23,95,oriy1255,oriy1255,stan1293,0.6317,0.641,0.2962,0.9131,0.7195,0.7083,0.1864,0.4473,0.1927629399684823,0.3421016509839167,18.80561,0.9,1.0,0.57,0.5983,0.5687,0.6,,0.7941176470588236,0.571518298770167,0.8166666666666667,1.0,0.0799999999999999,0.3843254361833845
Oromo,16,17,19,16,68,west2721,west2721,stan1293,0.859,0.641,0.2336,1.0,0.9132,0.6736,0.7323,0.7509,0.2461395577067502,0.3843048249704852,22.193323,1.0,0.3,0.91,0.5983,0.5687,0.9,,-1.0,-1.0,1.0,0.6666666666666667,-1.0,0.35714285373687743
Polish,23,24,23,22,91,poli1260,poli1260,stan1293,0.5977,0.1864,0.0549,0.9047,0.6206,0.6689,0.1864,0.5472,0.1963065780787527,0.2787767577061891,20.819458,0.9,0.1,0.59,0.5472,0.2804,0.5,0.4834986775394935,0.8153846153846154,0.5598507263734642,0.7916666666666667,0.6666666666666667,0.05,0.2228223056328006
