"L1","C","L1L2","L2","AaA","LoR","Edu.day","Sex","Family","ISO639.3","Enroll","Speaking","morph","lex","new_feat","new_sounds"
"Polish","Poland","PolishEnglish","English",24,1,4,"Female","Indo-European","pol ",100,502,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,2,4,"Female","Indo-European","pol ",100,525,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",33,9,3,"Female","Indo-European","pol ",100,585,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",39,3,4,"Female","Indo-European","pol ",100,565,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",25,4,4,"Female","Indo-European","pol ",100,510,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",32,7,3,"Female","Indo-European","pol ",100,518,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",28,1,1,"Female","Indo-European","pol ",100,512,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,7,4,"Female","Indo-European","pol ",100,482,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",19,3,3,"Female","Indo-European","pol ",100,523,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,1,4,"Female","Indo-European","pol ",100,527,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",30,2,4,"Female","Indo-European","pol ",100,504,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",30,3,4,"Female","Indo-European","pol ",100,512,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,1,4,"Female","Indo-European","pol ",100,489,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",25,2,4,"Female","Indo-European","pol ",100,515,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,2,3,"Female","Indo-European","pol ",100,528,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",28,2,4,"Female","Indo-European","pol ",100,529,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",38,3,4,"Female","Indo-European","pol ",100,514,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",48,3,4,"Female","Indo-European","pol ",100,454,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",21,2,3,"Female","Indo-European","pol ",100,538,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",22,6,3,"Female","Indo-European","pol ",100,518,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",18,5,3,"Female","Indo-European","pol ",100,546,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",22,2,3,"Female","Indo-European","pol ",100,519,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",24,4,4,"Female","Indo-European","pol ",100,539,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",28,4,3,"Female","Indo-European","pol ",100,578,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,3,4,"Female","Indo-European","pol ",100,429,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",36,4,4,"Female","Indo-European","pol ",100,499,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",30,4,3,"Female","Indo-European","pol ",100,484,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",26,1,4,"Female","Indo-European","pol ",100,498,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,1,3,"Female","Indo-European","pol ",100,509,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",21,3,3,"Female","Indo-European","pol ",100,537,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",38,4,4,"Female","Indo-European","pol ",100,515,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",28,3,3,"Female","Indo-European","pol ",100,513,0.0479,0.388004,14,25
"Polish","Romania","PolishMonolingual","Monolingual",28,2,4,"Female","Indo-European","pol ",86,535,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",32,1,3,"Female","Indo-European","pol ",100,530,0.0479,0.388004,14,25
"Polish","USSR","PolishRomansch","Romansch",36,2,3,"Female","Indo-European","pol ",90,531,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",29,8,1,"Female","Indo-European","pol ",100,523,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",18,2,2,"Female","Indo-European","pol ",100,523,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,1,1,"Female","Indo-European","pol ",100,527,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,2,4,"Male","Indo-European","pol ",100,536,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",19,5,1,"Female","Indo-European","pol ",100,626,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,7,4,"Female","Indo-European","pol ",100,539,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,2,3,"Female","Indo-European","pol ",100,548,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",21,8,3,"Female","Indo-European","pol ",100,543,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,3,3,"Female","Indo-European","pol ",100,533,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",19,2,3,"Female","Indo-European","pol ",100,557,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",31,10,4,"Female","Indo-European","pol ",100,520,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,1,3,"Female","Indo-European","pol ",100,540,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,3,3,"Female","Indo-European","pol ",100,533,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",35,1,4,"Female","Indo-European","pol ",100,522,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",30,9,3,"Male","Indo-European","pol ",100,532,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",38,3,4,"Female","Indo-European","pol ",100,483,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,1,3,"Female","Indo-European","pol ",100,518,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",28,5,3,"Female","Indo-European","pol ",100,521,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",25,3,3,"Female","Indo-European","pol ",100,551,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",25,22,3,"Female","Indo-European","pol ",100,514,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",32,12,3,"Female","Indo-European","pol ",100,506,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",37,2,4,"Female","Indo-European","pol ",100,558,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,1,3,"Female","Indo-European","pol ",100,562,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",19,5,3,"Female","Indo-European","pol ",100,508,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,2,3,"Female","Indo-European","pol ",100,509,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,3,3,"Female","Indo-European","pol ",100,507,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",30,1,3,"Male","Indo-European","pol ",100,508,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",39,0,3,"Female","Indo-European","pol ",100,505,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",35,3,4,"Female","Indo-European","pol ",100,472,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",36,2,4,"Female","Indo-European","pol ",100,512,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",21,4,4,"Female","Indo-European","pol ",100,528,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",28,1,4,"Female","Indo-European","pol ",100,511,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",31,1,3,"Female","Indo-European","pol ",100,535,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,2,4,"Female","Indo-European","pol ",100,577,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",35,2,4,"Female","Indo-European","pol ",100,591,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,2,3,"Female","Indo-European","pol ",100,490,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",34,0,4,"Male","Indo-European","pol ",100,506,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,14,3,"Female","Indo-European","pol ",100,612,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",46,12,3,"Female","Indo-European","pol ",100,492,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,2,3,"Female","Indo-European","pol ",100,519,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",20,1,2,"Female","Indo-European","pol ",100,619,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,2,3,"Male","Indo-European","pol ",100,527,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,3,2,"Female","Indo-European","pol ",100,522,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,1,3,"Female","Indo-European","pol ",100,598,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,3,3,"Female","Indo-European","pol ",100,514,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",32,2,4,"Female","Indo-European","pol ",100,507,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",28,0,4,"Female","Indo-European","pol ",100,488,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,3,3,"Female","Indo-European","pol ",100,557,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",36,12,4,"Female","Indo-European","pol ",100,492,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",20,2,3,"Female","Indo-European","pol ",100,499,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",34,3,3,"Female","Indo-European","pol ",100,523,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,3,3,"Female","Indo-European","pol ",100,513,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",38,2,4,"Female","Indo-European","pol ",100,496,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,1,4,"Female","Indo-European","pol ",100,536,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,6,4,"Female","Indo-European","pol ",100,490,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",24,0,4,"Female","Indo-European","pol ",100,551,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",41,4,3,"Female","Indo-European","pol ",100,509,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,3,4,"Female","Indo-European","pol ",100,516,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",27,1,4,"Female","Indo-European","pol ",100,507,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",28,6,3,"Female","Indo-European","pol ",100,514,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,2,4,"Female","Indo-European","pol ",100,472,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,1,4,"Female","Indo-European","pol ",100,521,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",20,3,3,"Female","Indo-European","pol ",100,505,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",40,6,3,"Female","Indo-European","pol ",100,459,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",34,4,4,"Female","Indo-European","pol ",100,479,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,3,4,"Male","Indo-European","pol ",100,535,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",19,1,3,"Female","Indo-European","pol ",100,528,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",22,3,3,"Female","Indo-European","pol ",100,543,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",35,2,3,"Female","Indo-European","pol ",100,516,0.0479,0.388004,14,25
